"YMTGDP","ITMCDP","CLRCDP","ACT","FREE","KEEPS","LOWLIMIT","CONSUME","DELIVERY","PRODUCTION","PURCHES"
201206,42875,580,0,0,0,0,0,400,200,0
201206,236228,30,0,0,0,0,0,0,0,0
201206,236228,580,-0.6,-0.6,0,0,207.2,0,120.5,0
201206,267001,30,-80.6,-80.6,0,0,1379.8,0,609.4,0
201206,267001,580,25599.9,24548.9,0,0,10831.1,0,25000,0
201206,345189,580,2200,1000,1200,0,0,0,0,0
201206,403025,30,0,0,0,0,0,471,0,0
201206,403025,580,200,0,0,0,0,3362,400,0
201206,410123,580,8400,8400,0,0,0,0,0,0
201206,1043617,30,230,0,0,0,0,0,60,0
201206,1043617,580,31,0,0,0,0,2175,1705,0
201206,1052456,580,1827.4,1827.4,0,0,0,0,0,0
201206,1052730,30,2003.5,2003.5,0,0,6.1,0,0,0
201206,1052730,580,2906.5,2906.5,0,0,6.1,0,0,0
201206,1094947,580,117114.6,108634.3,0,0,20740.6,0,0,80000
201206,1097782,580,2200,0,0,0,0,3000,3200,0
201206,1110902,30,0,0,0,0,0,0,0,0
201206,1110902,580,0,0,0,0,0,0,0,0
201206,1117808,580,0,0,0,0,0,152,52,0
201206,1186333,580,200,200,0,0,0,0,0,0
201206,1238326,580,270.1,270.1,0,0,0,0,0,0
201206,1239635,580,0,0,0,0,0,0,0,0
201206,1246424,580,0,0,0,0,0,0,0,0
201206,1247603,30,683,0,0,0,0,0,683,0
201206,1247603,580,6377,0,0,0,0,0,6377,0
201206,1306061,580,0,0,0,0,0,0,0,0
201206,1323375,580,0,0,0,0,0,0,0,0
201206,1323394,580,0,0,0,0,0,0,0,0
201206,1371593,30,0,0,0,0,0,0,0,0
201206,1371593,580,0,0,0,0,0,0,0,0
201206,1398500,580,37.7,37.7,0,0,0,0,0,0
201206,1401220,580,0,0,0,0,0,0,0,0
201206,1415687,580,0,0,0,0,0,0,0,0
201206,1419109,580,16399.4,13101.7,0,0,5644.1,0,0,0
201206,1420200,580,0,0,0,0,0,600,0,0
201206,1440762,580,0,0,0,0,0,0,0,0
201206,1553859,30,0,0,0,0,1300,0,1300,0
201206,1553859,580,0,0,0,0,25200,0,25200,0
201206,1569060,30,0,0,0,0,0,0,0,0
201206,1569060,580,0,0,0,0,0,0,0,0
201206,1641071,580,401,401,0,0,0,0,0,0
201206,1892857,580,0,0,0,0,0,0,0,0
201207,2842,30,0,0,0,0,0,0,0,0
201207,2842,580,1254.9,33.5,0,0,11474.8,0,9856.4,0
201207,8110,30,10639.6,1865.3,1276.9,0,2716.4,0,0,0
201207,8110,580,638022.1,512478.3,0.3,0,285284.4,0,0,0
201207,9007,30,0,0,0,0,0,0,0,0
201207,9007,580,73990,44190,0,0,0,84000,66200,0
201207,12222,30,1791.4,1791.4,0,0,0,0,0,0
201207,12222,580,136.7,136.7,0,0,24,0,0,0
201207,13976,30,0,0,0,0,0,0,0,0
201207,13976,580,803.7,43.9,0,0,0,0,803.7,0
201207,21192,580,166.5,166.5,0,0,0,0,0,0
201207,42875,580,0,0,0,0,0,0,0,200
201207,236228,30,0,0,0,0,0,0,0,0
201207,236228,580,-0.6,-0.6,0,0,0,0,0,0
201207,267001,30,674.8,674.8,0,0,623.2,0,595.5,0
201207,267001,580,7064.6,5894.8,0,0,18535.3,0,0,0
201207,345189,580,1800,0,1200,0,0,400,0,0
201207,403025,30,0,0,0,0,0,0,0,0
201207,403025,580,0,0,0,0,0,200,0,0
201207,410123,580,8390,8390,0,0,0,10,0,0
201207,1043617,30,260,0,0,0,0,231,261,0
201207,1043617,580,389,0,0,0,0,2325,2687,0
201207,1052456,580,1827.4,1827.4,0,0,0,0,0,0
201207,1052730,30,2003.5,2003.5,0,0,0,0,0,0
201207,1052730,580,2882.5,2882.5,0,0,24,0,0,0
201207,1094947,580,98819,94891.6,0,0,18295.6,0,0,0
201207,1097782,580,1200,0,0,0,0,1800,800,0
201207,1110902,30,0,0,0,0,0,0,0,0
201207,1110902,580,0,0,0,0,0,0,0,0
201207,1117808,580,0,0,0,0,0,2,2,0
201207,1186333,580,200,200,0,0,0,0,0,0
201207,1238326,580,270.1,270.1,0,0,0,0,0,0
201207,1239635,580,0,0,0,0,0,0,0,0
201207,1246424,580,0,0,0,0,0,0,0,0
201207,1247603,30,617,0,0,0,0,683,617,0
201207,1247603,580,6529,0,0,0,0,6377,6529,0
201207,1306061,580,0,0,0,0,0,0,0,0
201207,1323375,580,0,0,0,0,0,0,0,0
201207,1323394,580,0,0,0,0,0,0,0,0
201207,1351711,580,0,0,0,0,0,0,0,0
201207,1371593,30,0,0,0,0,0,0,0,0
201207,1371593,580,0,0,0,0,0,0,0,1200
201207,1398500,580,37.7,37.7,0,0,0,0,0,0
201207,1401220,580,0,0,0,0,0,0,0,0
201207,1415687,580,0,0,0,0,0,0,0,0
201207,1419109,580,12898.7,5458.6,0,0,3500.7,0,0,0
201207,1420200,580,0,0,0,0,0,0,0,0
201207,1440762,580,0,0,0,0,0,0,0,0
201207,1553859,30,0,0,0,0,650,0,650,0
